"year","degree","padeg","madeg","spdeg","sex","ompop","income","rincome","speduc","maeduc","id","commute","industry","sibs","childs","age","educ","paeduc","ballot"
2012,3,0,4,7,1,1,5,3,97,16,141,-1,0,2,3,78,16,10,3
2012,1,8,0,7,2,3,12,12,97,10,142,-1,0,4,2,39,14,98,2
2012,3,4,2,7,1,1,9,0,97,14,143,-1,0,1,2,73,16,18,2
2012,2,7,0,7,2,1,10,10,97,6,144,-1,0,4,2,67,16,97,3
2012,0,8,0,7,2,1,9,0,97,8,145,-1,0,8,0,82,11,12,3
2012,1,7,0,7,2,1,11,0,97,4,146,-1,0,4,1,64,14,97,2
2012,1,0,7,0,2,2,13,0,6,97,147,-1,0,12,4,61,14,0,2
2012,0,7,1,7,1,4,10,5,97,12,148,-1,0,7,0,22,6,97,1
2012,2,2,2,7,2,3,12,0,97,14,149,-1,0,3,1,27,14,14,3
2012,1,0,1,7,1,3,12,12,97,9,150,-1,0,5,2,41,14,4,1
2012,0,7,0,7,2,1,6,3,97,0,151,-1,0,5,3,33,9,97,2
2012,0,0,0,7,2,5,11,0,97,6,152,-1,0,7,5,49,6,6,3
2012,0,0,8,7,1,3,12,11,97,12,153,-1,0,1,0,22,11,98,1
2012,0,0,0,0,2,3,9,9,9,0,154,-1,0,11,2,42,6,0,2
2012,0,0,0,7,2,2,9,2,97,4,155,-1,0,8,3,28,11,2,3
2012,1,0,1,7,2,2,11,0,97,12,156,-1,0,2,2,66,14,8,2
2012,1,7,0,7,2,3,12,0,97,7,157,-1,0,1,0,35,13,97,3
2012,1,0,0,7,1,1,10,0,97,6,158,-1,0,5,0,52,12,1,2
2012,1,1,1,7,1,1,12,12,97,12,159,-1,0,2,1,63,14,13,3
2012,1,0,0,7,1,1,12,12,97,6,160,-1,0,1,1,31,13,9,2
2012,3,4,0,4,2,3,12,0,18,8,161,-1,0,1,1,29,17,18,3
2012,3,4,1,7,1,1,12,12,97,14,162,-1,0,6,1,50,17,17,1
2012,1,7,2,7,1,1,12,12,97,14,163,-1,0,3,4,47,12,97,3
2012,1,1,1,7,2,1,12,12,97,12,164,-1,0,7,2,65,12,12,3
2012,1,0,2,1,1,2,12,12,15,14,165,-1,0,1,2,62,13,9,2
2012,1,1,4,7,2,2,98,0,97,18,166,-1,0,1,0,18,13,12,1
2012,1,1,3,7,2,1,9,0,97,16,167,-1,0,1,0,40,14,12,2
2012,3,2,4,7,2,2,12,12,97,18,168,-1,0,3,0,28,16,14,3
2012,3,4,1,7,1,2,12,0,97,14,169,-1,0,1,0,24,16,17,2
2012,4,2,2,4,1,1,12,12,16,14,170,-1,0,1,1,40,16,14,3
2012,3,1,4,7,2,1,8,0,97,20,171,-1,0,2,2,77,15,12,2
2012,2,1,2,7,2,1,13,13,97,14,172,-1,0,3,0,24,15,12,1
2012,1,4,4,7,2,2,2,0,97,20,173,-1,0,2,0,21,14,20,3
2012,1,4,3,7,2,2,8,0,97,16,174,-1,0,2,0,22,15,20,1
2012,2,3,3,7,1,3,1,0,97,16,175,-1,0,2,0,24,16,16,2
2012,1,0,0,7,1,3,12,12,97,98,176,-1,0,1,0,22,11,98,1
2012,1,3,3,7,1,4,13,0,97,16,177,-1,0,1,0,21,15,17,2
2012,4,7,0,7,1,1,12,0,97,6,178,-1,0,8,3,67,16,97,3
2012,3,4,3,1,2,2,12,12,12,16,179,-1,0,5,1,32,19,20,2
2012,0,3,0,0,1,5,12,11,9,6,180,-1,0,3,4,38,9,16,3
2012,1,7,0,1,2,2,12,6,14,9,181,-1,0,3,3,55,12,97,1
2012,1,4,1,7,1,2,12,12,97,12,182,-1,0,3,3,40,14,20,3
2012,1,1,1,2,1,4,12,12,15,12,183,-1,0,2,2,38,11,12,3
2012,1,0,4,7,1,2,12,11,97,12,184,-1,0,0,1,52,13,10,3
2012,3,1,1,2,2,4,12,4,14,12,185,-1,0,2,4,34,16,12,2
2012,3,3,2,7,2,5,9,9,97,14,186,-1,0,2,0,22,16,16,2
2012,3,4,4,4,1,4,12,12,18,16,187,-1,0,1,2,56,17,18,1
2012,1,1,1,7,2,5,6,6,97,12,188,-1,0,4,2,60,12,12,3
2012,3,1,3,4,1,5,12,12,18,16,189,-1,0,1,3,39,16,12,3
2012,3,1,2,1,2,2,12,11,14,14,190,-1,0,3,0,33,16,14,1
2012,1,1,1,1,1,6,13,0,12,12,191,-1,0,6,1,67,12,12,2
2012,1,7,1,7,1,1,12,12,97,14,192,-1,0,4,2,51,12,97,3
2012,1,7,1,1,1,2,12,12,12,12,193,-1,0,1,1,65,12,97,1
2012,3,7,3,7,2,1,12,12,97,16,194,-1,0,6,0,42,16,97,2
2012,1,1,0,3,2,2,12,0,16,98,195,-1,0,4,3,65,12,12,2
2012,1,1,0,1,2,4,11,8,13,10,196,-1,0,6,2,25,13,11,1
2012,1,1,1,7,2,2,12,0,97,12,197,-1,0,0,8,36,12,12,2
2012,1,7,1,7,2,4,12,0,97,13,198,-1,0,1,2,38,14,97,3
2012,1,0,1,7,1,3,12,3,97,12,199,-1,0,2,0,18,12,9,1
2012,0,0,0,7,1,2,12,0,97,3,200,-1,0,9,0,38,9,0,3
2012,0,0,0,0,2,3,12,13,6,201,-1,0,8,4,41,9,0,3,NA
2012,1,7,3,7,1,2,12,7,97,17,202,-1,0,0,0,20,14,97,1
2012,3,3,2,7,1,2,12,12,97,14,203,-1,0,1,1,39,16,16,2
2012,3,1,1,1,2,4,12,0,14,12,204,-1,0,1,2,25,17,12,3
2012,2,0,0,1,1,4,12,12,12,3,205,-1,0,8,0,57,14,3,2
2012,0,4,3,4,2,2,12,5,20,16,206,-1,0,5,5,61,13,18,1
2012,3,3,3,7,1,1,12,8,97,18,207,-1,0,2,0,31,16,16,3
2012,4,8,0,7,2,1,13,0,97,8,208,-1,0,3,0,62,19,98,3
2012,1,8,8,7,1,1,12,12,97,98,209,-1,0,8,0,30,12,98,1
2012,2,0,1,7,2,1,12,9,97,12,210,-1,0,3,3,68,14,8,1
2012,1,0,1,1,1,2,12,12,16,10,211,-1,0,6,0,50,16,3,3
2012,1,2,8,7,1,3,12,1,97,98,212,-1,0,1,0,27,12,14,3
2012,3,7,2,7,1,2,12,12,97,14,213,-1,0,3,1,30,16,97,3
2012,2,7,0,1,2,2,12,0,13,8,214,-1,0,0,4,65,14,97,3
2012,4,1,2,4,2,2,12,12,18,14,215,-1,0,1,2,65,18,12,2
2012,4,4,3,4,1,4,12,12,19,17,216,-1,0,2,2,36,19,18,3
2012,1,8,1,1,1,2,12,0,12,12,217,-1,0,1,5,72,12,98,2
2012,1,0,1,1,2,3,13,0,11,12,218,-1,0,4,1,27,12,11,3
2012,1,1,7,1,1,4,11,11,12,97,219,-1,0,4,3,22,12,97,1
2012,0,0,0,0,2,5,11,0,6,2,220,-1,0,9,3,33,9,2,2
2012,0,0,0,0,1,6,11,11,9,6,221,-1,0,7,4,35,6,6,3
2012,0,1,1,0,2,2,12,0,10,12,222,-1,0,2,1,54,11,11,1
2012,0,2,1,7,1,7,9,0,97,12,223,-1,0,3,0,18,11,14,3
2012,1,7,0,7,2,1,9,0,97,7,224,-1,0,2,3,38,12,97,1
2012,1,1,1,3,2,2,12,8,16,12,225,-1,0,3,4,67,12,12,1
2012,1,1,1,1,1,2,12,11,12,12,226,-1,0,5,0,48,12,12,2
2012,4,1,0,1,1,2,12,12,14,10,227,-1,0,3,0,64,19,13,1
2012,4,0,0,7,2,1,13,0,97,8,228,-1,0,2,2,89,19,8,3
2012,1,1,1,4,2,2,12,12,17,12,229,-1,0,2,2,48,12,12,2
2012,0,1,0,0,2,2,98,0,12,6,230,-1,0,10,2,44,6,12,1
2012,1,7,1,1,1,2,12,12,14,12,231,-1,0,1,0,42,15,97,1
2012,3,1,1,1,2,2,1,0,13,12,232,-1,0,3,1,26,16,13,2
2012,0,0,0,7,2,1,9,0,97,0,233,-1,0,1,4,68,12,98,3
2012,1,0,1,7,2,2,12,12,97,12,234,-1,0,11,1,61,14,10,3
2012,1,0,2,1,1,3,12,12,13,14,235,-1,0,11,4,34,13,4,2
2012,0,7,0,0,2,5,9,0,6,0,236,-1,0,98,2,35,6,97,1
2012,3,1,1,7,1,2,12,12,97,12,237,-1,0,1,2,53,17,12,1
2012,1,1,1,7,1,2,98,98,97,98,238,-1,0,3,4,32,12,98,3
2012,1,1,0,1,1,3,12,0,12,6,239,-1,0,2,2,61,14,13,3
2012,1,0,0,0,1,3,11,0,6,8,240,-1,0,2,2,28,10,6,1
2012,1,0,7,1,1,2,12,12,12,97,241,-1,0,5,1,39,12,8,2
2012,3,3,4,3,1,2,12,12,16,18,242,-1,0,7,4,61,16,16,1
2012,4,1,1,4,1,2,13,13,18,12,243,-1,0,4,3,65,18,13,2
2012,4,4,3,4,1,2,12,12,18,16,244,-1,0,2,0,34,18,18,1
2012,1,0,0,7,1,1,13,0,97,8,245,-1,0,1,2,87,12,8,3
2012,1,3,1,7,1,2,12,0,97,14,246,-1,0,1,0,24,16,16,3
2012,1,0,0,7,2,2,12,12,97,12,247,-1,0,3,1,39,12,98,1
2012,0,0,0,0,2,4,98,0,0,0,248,-1,0,5,8,76,0,98,2
2012,2,1,0,7,1,2,12,12,97,6,249,-1,0,4,0,32,14,12,3
2012,3,0,0,1,2,4,12,12,12,8,250,-1,0,5,3,54,16,8,2
2012,2,1,1,7,2,2,9,9,97,12,251,-1,0,4,1,55,14,14,1
2012,3,0,0,1,2,5,12,0,12,5,252,-1,0,6,2,53,16,5,3
2012,1,1,1,7,1,1,12,12,97,12,253,-1,0,7,0,62,14,12,1
2012,0,0,0,0,1,5,9,10,6,6,254,-1,0,10,3,39,6,0,2
2012,1,0,0,7,2,4,12,12,97,5,255,-1,0,4,1,30,12,3,1
2012,0,8,0,7,2,1,7,0,97,4,256,-1,0,9,8,89,8,11,3
2012,1,7,1,7,1,4,12,0,97,11,257,-1,0,11,1,30,10,97,2
2012,1,0,0,0,2,5,12,10,6,5,258,-1,0,6,3,35,12,2,3
2012,3,0,0,1,2,2,12,0,12,6,259,-1,0,4,3,73,16,8,2
2012,3,1,0,3,2,2,12,0,16,10,260,-1,0,1,2,69,16,12,3
2012,1,0,8,7,2,1,12,0,97,98,261,-1,0,0,1,89,12,8,2
2012,3,1,1,3,1,2,12,12,16,12,262,-1,0,1,2,55,16,16,3
2012,1,0,0,7,2,1,11,0,97,8,263,-1,0,6,3,78,12,8,1
2012,3,1,1,3,1,4,12,12,16,12,264,-1,0,2,2,43,17,13,1
2012,3,1,1,7,2,1,12,0,97,13,265,-1,0,1,2,68,16,12,2
2012,3,1,0,4,1,2,12,12,20,10,266,-1,0,3,2,71,16,13,3
2012,3,1,4,3,2,4,12,0,16,16,267,-1,0,5,3,47,16,14,1
2012,4,1,1,7,2,1,12,0,97,12,268,-1,0,1,2,68,18,13,2
2012,1,8,1,3,2,2,12,0,16,12,269,-1,0,1,2,76,12,98,1
2012,3,1,1,1,1,2,12,12,15,12,270,-1,0,3,2,55,16,12,2
2012,1,1,1,7,2,2,12,0,97,12,271,-1,0,5,3,49,12,12,3
2012,1,1,1,7,2,1,12,12,97,12,272,-1,0,4,3,68,14,12,1
2012,0,8,8,7,1,2,12,12,97,98,273,-1,0,3,2,47,11,98,3
2012,2,1,8,1,1,3,12,0,12,15,274,-1,0,5,4,59,14,12,2
2012,3,0,1,1,2,2,12,0,12,12,275,-1,0,2,4,74,16,8,3
2012,2,0,0,0,1,2,12,9,11,10,276,-1,0,9,2,71,14,10,2
2012,1,7,1,7,2,2,12,12,97,12,277,-1,0,2,2,32,12,97,1
2012,3,4,3,7,1,1,12,12,97,20,278,-1,0,2,0,30,16,16,2
2012,4,2,3,1,2,3,12,12,12,16,279,-1,0,2,1,38,16,14,1
2012,3,4,3,3,2,3,12,12,16,16,280,-1,0,0,2,41,16,20,3
2012,4,1,2,4,2,2,12,12,20,14,281,-1,0,0,1,62,20,14,2
2012,4,4,1,7,1,1,12,12,97,15,282,-1,0,2,0,49,20,20,1
2012,2,1,1,7,2,2,12,12,97,12,283,-1,0,4,1,52,16,12,2
2012,1,1,1,1,2,2,12,0,12,13,284,-1,0,5,2,61,13,14,1
2012,3,1,1,7,1,2,12,12,97,12,285,-1,0,2,0,52,16,12,3
2012,2,7,1,4,1,6,12,12,18,12,286,-1,0,0,4,33,14,97,1
2012,3,1,1,7,2,1,12,11,97,12,287,-1,0,1,3,65,16,12,3
2012,0,8,1,7,1,5,13,13,97,12,288,-1,0,4,0,55,12,98,3
2012,2,0,0,4,2,6,12,13,20,0,289,-1,0,99,9,45,14,6,3
2012,0,0,0,0,1,5,12,8,9,5,290,-1,0,5,6,35,9,6,1
2012,2,7,3,7,2,4,9,0,97,16,291,-1,0,1,4,36,14,97,2
2012,4,3,1,3,2,5,12,12,16,12,292,-1,0,3,3,43,16,16,3
2012,1,0,0,7,1,1,12,0,97,98,293,-1,0,4,4,83,13,0,2
2012,1,0,0,7,1,1,9,0,97,8,294,-1,0,3,3,64,14,9,2
2012,4,1,4,3,1,2,12,12,19,18,295,-1,0,3,0,38,18,12,2
2012,1,3,1,7,1,2,12,0,97,15,296,-1,0,1,1,25,14,16,1
2012,4,0,8,2,1,2,12,0,15,98,297,-1,0,8,4,81,18,98,3
2012,1,8,1,7,2,5,98,1,97,12,298,-1,0,2,1,23,12,9,1
2012,1,1,1,7,2,4,12,10,97,12,299,-1,0,1,0,21,12,12,3
2012,1,3,1,1,2,2,12,6,12,12,300,-1,0,4,4,56,12,16,3
2012,1,7,1,7,2,5,12,9,97,13,301,-1,0,7,0,30,11,97,2
2012,1,0,1,7,1,1,12,0,97,12,302,-1,0,3,0,69,12,6,1
2012,1,1,1,2,2,2,13,0,14,12,303,-1,0,3,3,62,12,12,3
2012,3,3,3,1,1,2,12,12,12,16,304,-1,0,2,0,39,16,16,3
2012,3,4,3,7,1,1,4,4,97,16,305,-1,0,1,0,25,18,20,1
2012,4,0,7,7,1,1,12,0,97,97,306,-1,0,7,2,75,20,8,2
2012,4,1,2,4,1,4,12,12,19,14,307,-1,0,1,2,46,18,14,1
2012,0,0,0,7,1,3,98,11,97,0,308,-1,0,7,3,57,6,4,3
2012,1,7,1,7,1,3,12,0,97,12,309,-1,0,4,0,20,13,97,1
2012,3,1,1,7,2,2,12,12,97,15,310,-1,0,2,8,53,16,14,3
2012,3,2,1,3,1,2,12,12,20,12,311,-1,0,2,5,53,16,14,1
2012,0,3,0,0,2,2,12,11,8,7,312,-1,0,6,3,42,8,16,2
2012,4,1,3,3,1,2,12,12,19,16,313,-1,0,7,1,63,18,12,3
2012,4,4,1,4,1,2,12,13,20,14,314,-1,0,4,2,55,20,20,1
2012,4,3,1,3,1,4,12,12,16,12,315,-1,0,2,2,54,17,16,3
2012,4,8,8,3,1,2,12,12,16,98,316,-1,0,1,3,77,20,98,1
2012,3,7,1,7,2,2,12,12,97,14,317,-1,0,6,2,48,16,97,3
2012,0,7,0,0,2,5,12,11,10,0,318,-1,0,6,2,52,4,97,2
2012,1,7,2,1,1,5,12,12,14,14,319,-1,0,3,3,31,13,97,3
2012,1,0,0,0,2,2,12,9,6,6,320,-1,0,7,2,57,12,6,2
2012,1,7,1,7,1,3,8,3,97,98,321,-1,0,7,0,21,12,97,2
2012,2,1,1,7,2,4,12,11,97,12,322,-1,0,1,1,50,15,12,3
2012,3,1,2,1,2,5,12,12,13,14,323,-1,0,1,3,38,16,16,1
2012,0,0,0,1,1,2,12,12,12,6,324,-1,0,8,3,33,12,1,1
2012,1,1,3,4,1,2,12,12,19,16,325,-1,0,2,0,26,14,12,3
2012,1,7,1,7,2,1,9,0,97,15,326,-1,0,1,2,33,14,97,3
2012,3,7,1,7,2,1,12,12,97,12,327,-1,0,0,0,44,17,97,1
2012,3,4,3,7,1,1,12,12,97,16,328,-1,0,1,0,25,16,16,3
2012,3,4,2,7,2,2,12,12,97,14,329,-1,0,1,0,27,16,16,3
