age,balance,day,duration,campaign,pdays,previous,cons.conf.idx,emp.var.rate,euribor3m,nr.employed,cons.price.idx,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,education_primary,education_secondary,education_tertiary,marital_divorced,marital_married,marital_single,housing_no,housing_yes,loan_no,loan_yes,default_no,default_yes,poutcome_failure,poutcome_success,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,y
30,177,9,1.03,2,332,3,-47.1,-1.8,1.498,5099.1,93.075,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,81,9,0.73,2,-1,0,92.111,1.1,2.77,4851.0,92.111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
40,471,24,7.17,4,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
38,63,20,5.33,4,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
57,412,20,2.05,1,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38,0,1,1.18,1,-1,0,-41.8,1.4,4.865,5228.1,94.465,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
29,795,10,4.5,2,-1,0,-42.7,1.4,4.955,5228.1,93.918,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
43,764,18,2.73,5,127,5,-42.0,-0.1,4.733,5195.8,93.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,559,9,0.3,6,-1,0,92.111,1.1,2.77,4851.0,92.111,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
31,-596,21,2.45,1,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
34,-64,28,11.55,7,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,0,12,4.05,3,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
49,145,29,0.95,2,248,38,92.16,1.2,2.859,4870.5,92.16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,71,21,3.68,8,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
57,1681,18,3.77,1,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
29,1165,2,4.08,1,-1,0,-41.8,1.4,4.865,5228.1,94.465,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
30,692,11,4.83,1,-1,0,-36.4,1.1,4.857,5191.0,93.994,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38,0,29,1.58,2,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
53,53,18,3.3,1,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,487,4,7.2,1,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
70,1311,11,10.85,1,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
35,1345,23,2.25,1,-1,0,-42.7,1.4,4.955,5228.1,93.918,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
57,4,21,1.4,1,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
33,1431,30,1.57,1,85,2,-47.1,-1.8,1.498,5099.1,93.075,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,0,15,8.17,5,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
41,99,18,2.62,2,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40,595,3,6.77,2,-1,0,-41.8,1.4,4.865,5228.1,94.465,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
32,2667,12,16.18,2,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
31,1951,21,8.65,2,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
48,35,6,3.87,4,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,9610,16,4.15,2,-1,0,-47.1,-1.8,1.498,5099.1,93.075,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,61,29,1.15,5,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
51,1126,17,5.43,3,-1,0,-47.1,-1.8,1.498,5099.1,93.075,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,902,31,0.97,13,-1,0,-42.7,1.4,4.955,5228.1,93.918,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
33,572,14,5.73,1,74,2,-47.1,-1.8,1.498,5099.1,93.075,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,-84,10,8.43,3,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,218,7,7.47,1,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
51,26,28,0.85,3,-1,0,-36.1,1.4,4.97,5228.1,93.444,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
45,22,6,4.6,3,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29,536,29,6.97,2,-1,0,92.16,1.2,2.859,4870.5,92.16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
46,4879,31,3.25,3,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42,1453,11,4.4,1,-1,0,-36.4,1.1,4.857,5191.0,93.994,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,510,6,4.3,2,-1,0,92.111,1.1,2.77,4851.0,92.111,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
56,1947,30,10.52,2,149,3,-40.4,-0.1,5.045,5195.8,93.798,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,621,17,12.97,3,-1,0,-47.1,-1.8,1.498,5099.1,93.075,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,1138,10,6.7,3,-1,0,92.111,1.1,2.77,4851.0,92.111,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
36,521,20,5.78,3,-1,0,-40.4,-0.1,5.045,5195.8,93.798,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
50,238,27,16.13,5,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
58,2094,1,2.68,2,-1,0,-41.8,1.4,4.865,5228.1,94.465,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
42,59,28,2.4,13,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
56,334,6,2.13,2,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,1245,9,0.13,7,248,9,92.111,1.1,2.77,4851.0,92.111,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
55,728,7,4.12,1,-1,0,-36.4,1.1,4.857,5191.0,93.994,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
58,10628,30,3.15,4,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
35,385,29,2.8,2,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41,927,20,5.72,2,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32,727,11,1.13,4,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,1851,30,2.77,1,-1,0,-47.1,-1.8,1.498,5099.1,93.075,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
56,488,6,2.43,4,-1,0,92.111,1.1,2.77,4851.0,92.111,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
49,8545,20,2.92,1,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,-198,15,4.27,1,359,3,-36.4,1.1,4.857,5191.0,93.994,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,43,5,2.65,1,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,5643,18,1.77,2,362,1,-36.4,1.1,4.857,5191.0,93.994,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,1199,29,5.6,2,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
37,309,15,0.97,3,-1,0,-36.4,1.1,4.857,5191.0,93.994,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
47,13,23,2.25,2,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
34,258,2,1.72,1,-1,0,92.111,1.1,2.77,4851.0,92.111,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
31,0,4,0.78,2,-1,0,-36.4,1.1,4.857,5191.0,93.994,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
57,1412,9,1.48,1,330,1,-47.1,-1.8,1.498,5099.1,93.075,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,2916,12,2.38,1,-1,0,-40.4,-0.1,5.045,5195.8,93.798,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,305,4,3.52,1,-1,0,92.111,1.1,2.77,4851.0,92.111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
27,472,20,2.4,4,-1,0,-47.1,-1.8,1.498,5099.1,93.075,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58,1411,13,7.08,2,-1,0,-36.4,1.1,4.857,5191.0,93.994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
37,0,13,1.82,1,344,1,-36.4,1.1,4.857,5191.0,93.994,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,3812,18,6.05,1,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
35,1070,20,4.18,2,-1,0,-42.0,-0.1,4.733,5195.8,93.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
59,122,15,2.15,1,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
47,31,6,0.83,1,356,1,-36.4,1.1,4.857,5191.0,93.994,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,855,14,1.35,2,-1,0,-36.1,1.4,4.97,5228.1,93.444,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29,3054,2,3.4,1,186,7,-42.0,-0.1,4.733,5195.8,93.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,110,28,2.2,4,-1,0,-42.7,1.4,4.955,5228.1,93.918,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
45,303,20,1.83,3,-1,0,-47.1,-1.8,1.498,5099.1,93.075,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,2369,20,7.83,2,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35,978,29,11.0,2,182,6,-41.8,1.4,4.865,5228.1,94.465,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
29,-2,18,0.15,5,-1,0,-36.4,1.1,4.857,5191.0,93.994,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,0,31,8.83,3,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
38,864,13,6.07,1,348,1,-36.4,1.1,4.857,5191.0,93.994,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,3471,27,1.88,1,-1,0,-36.4,1.1,4.857,5191.0,93.994,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25,35,30,1.6,29,-1,0,-42.7,1.4,4.955,5228.1,93.918,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
41,4477,4,5.95,2,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,0,29,1.93,4,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,767,22,2.67,2,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
47,649,27,1.3,2,-1,0,-50.0,-1.8,1.811,5099.1,92.843,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38,484,8,2.88,8,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,5345,18,4.33,1,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32,2204,27,2.05,4,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,0,22,1.03,1,-1,0,-42.7,1.4,4.955,5228.1,93.918,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
47,1629,7,0.42,1,-1,0,-36.4,1.1,4.857,5191.0,93.994,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
30,-109,7,2.67,4,-1,0,-36.4,1.1,4.857,5191.0,93.994,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
31,849,19,1.57,1,-1,0,-42.0,-0.1,4.733,5195.8,93.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,1344,19,1.42,6,-1,0,-36.1,1.4,4.97,5228.1,93.444,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,302,16,11.17,1,-1,0,-47.1,-1.8,1.498,5099.1,93.075,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72,2321,14,3.68,2,64,12,-29.8,-3.4,0.819,5017.5,92.379,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
